Conga: ,,,,,,,,,,,,
Row ,Type ,Segs.,Board Thick,Diameter  (A),Diameter  (B),Segment  Edge Length,Vertical  Spacer Width,Board  Width ,Economy  Board Length,Miter Angle,Blade Tilt,Slope
34,Flat Maple,20,0.88,12.22,9.5,1.94,0,1.42,36.94,9,,
33,Flat Maple,20,0.88,12.84,9.62,2.03,0,1.67,38.15,9,,
32,Flat Maple,20,0.88,13.28,10.03,2.1,0,1.69,39.49,9,,
31,Flat Maple,20,0.88,13.64,10.44,2.16,0,1.67,40.7,9,,
30,Flat Maple,20,0.88,13.95,10.84,2.21,0,1.62,41.82,9,,
29,Flat Maple,20,0.88,14.24,11.25,2.26,0,1.57,42.9,9,,
28,Flat Maple,20,0.88,14.46,11.56,2.29,0,1.52,43.73,9,,
27,Flat Maple,20,0.88,14.6,11.86,2.31,0,1.44,44.41,9,,
26,Flat Maple,20,0.88,14.73,12.07,2.33,0,1.41,44.93,9,,
25,Flat Maple,20,0.88,14.81,12.21,2.35,0,1.38,45.27,9,,
24,Flat Maple,20,0.88,14.9,12.29,2.36,0,1.38,45.54,9,,
23,Flat Maple,20,0.88,14.92,12.36,2.36,0,1.36,45.68,9,,
22,Flat Maple,20,0.88,14.96,12.4,2.37,0,1.36,45.81,9,,
21,Flat Maple,20,0.88,14.97,12.36,2.37,0,1.38,45.76,9,,
20,Flat Maple,20,0.88,14.91,12.32,2.36,0,1.37,45.61,9,,
19,Flat Maple,20,0.88,14.84,12.21,2.35,0,1.39,45.33,9,,
18,Flat Maple,20,0.88,14.73,12.1,2.33,0,1.39,44.98,9,,
17,Flat Maple,20,0.88,14.56,11.97,2.31,0,1.37,44.5,9,,
16,Flat Maple,20,0.88,14.35,11.83,2.27,0,1.33,43.94,9,,
15,Flat Maple,20,0.88,14.15,11.63,2.24,0,1.33,43.31,9,,
14,Flat Maple,20,0.88,13.9,11.41,2.2,0,1.31,42.57,9,,
13,Flat Maple,20,0.88,13.59,11.12,2.15,0,1.3,41.64,9,,
12,Flat Maple,20,0.88,13.27,10.79,2.1,0,1.31,40.61,9,,
11,Flat Maple,20,0.88,12.95,10.37,2.05,0,1.36,39.45,9,,
10,Flat Maple,20,0.88,12.61,9.93,2,0,1.4,38.23,9,,
9,Flat Maple,20,0.88,12.22,9.48,1.93,0,1.43,36.9,9,,
8,Flat Maple,20,0.88,11.77,9.06,1.86,0,1.41,35.54,9,,
7,Flat Maple,20,0.88,11.31,8.63,1.79,0,1.39,34.13,9,,
6,Flat Maple,20,0.88,10.79,8.16,1.71,0,1.36,32.56,9,,
5,Flat Maple,20,0.88,10.24,7.72,1.62,0,1.31,30.99,9,,
4,Flat Maple,20,0.88,9.66,7.28,1.53,0,1.23,29.38,9,,
3,Flat Maple,20,0.88,9.09,6.85,1.44,0,1.16,27.8,9,,
2,Flat Maple,20,0.88,8.56,6.69,1.36,0,0.98,26.67,9,,
1,Flat Maple,20,0.88,8.25,5.64,1.31,0,1.34,24.6,9,,
