Conga: 680 Pieces,,Sements per Ring: 20,,,Angle: 9.00,Ring Thickness: 0.875,,,
,,,,Board,,,,,
Row ,Outer Diameter,SEL,Width ,Length,Speices 1,Speices 2,Speices 3,,"Dimensions: 29.75"" Tall x 12"" Diameter Head"
34,12.22,1.94,1.4,36.94,5,10,5,,
33,12.84,2.03,1.7,38.15,5,10,5,,
32,13.28,2.1,1.7,39.49,5,10,5,,
31,13.64,2.16,1.65,40.7,5,10,5,,
30,13.95,2.21,1.6,41.82,5,10,5,,
29,14.24,2.26,1.55,42.9,5,10,5,,
28,14.46,2.29,1.5,43.73,5,10,5,,
27,14.6,2.31,1.45,44.41,5,10,5,,
26,14.73,2.33,1.4,44.93,5,10,5,,
25,14.81,2.35,1.35,45.27,5,10,5,,
24,14.9,2.36,1.35,45.54,5,10,5,,
23,14.92,2.36,1.35,45.68,5,10,5,,
22,14.96,2.37,1.35,45.81,5,10,5,,
21,14.97,2.37,1.35,45.76,5,10,5,,
20,14.91,2.36,1.35,45.61,5,10,5,,
19,14.84,2.35,1.39,45.33,5,10,5,,
18,14.73,2.33,1.39,44.98,5,10,5,,
17,14.56,2.31,1.37,44.5,5,10,5,,
16,14.35,2.27,1.35,43.94,5,10,5,,
15,14.15,2.24,1.35,43.31,5,10,5,,
14,13.9,2.2,1.31,42.57,5,10,5,,
13,13.59,2.15,1.3,41.64,5,10,5,,
12,13.27,2.1,1.31,40.61,5,10,5,,
11,12.95,2.05,1.35,39.45,5,10,5,,
10,12.61,2,1.4,38.23,5,10,5,,
9,12.22,1.93,1.43,36.9,5,10,5,,
8,11.77,1.86,1.41,35.54,5,10,5,,
7,11.31,1.79,1.39,34.13,5,10,5,,
6,10.79,1.71,1.35,32.56,5,10,5,,
5,10.24,1.62,1.35,30.99,5,10,5,,
4,9.66,1.53,1.23,29.38,5,10,5,,
3,9.09,1.44,1.16,27.8,5,10,5,,
2,8.56,1.36,1.35,26.67,5,10,5,,
1,8.25,1.31,1.35,24.6,5,10,5,,
,,,,,,,,,
,,,,,,,,,
,Height,29.75,,,,,,,
,,20*34 = ,680,,,,,,
